# Process changes -- how carol EVALUATES, not individual accepts.
# <commit>|<label>
f94ca2c|mirror-sync instrument (verified byte-identical copy for symmetry audits)
553ddef|score only after GAUNTLET-COMPLETE (iter2 was scored from a prefix)
c9c6a9d|gauntlet draws a fresh random 25-map sample each run
a59bae9|pre-register a MAP-LEVEL prediction, not just an accept threshold
a59bae9|History pre-check asks which iteration wrote the LINE, not the previous one
e6ad3ae|split a losing bundle to ablate the baseline for free
6995c61|state benefit AND price as two numbers before running a mechanism
9376e6d|eval-run.sh drops the binomial floor for map-resampling (7 zero-variance mirrors)
4af02c2|resampling sign convention pinned in the tool, not in a note the reader must recall
1eb2e1f|probes self-limit on Clock.getBytecodesLeft() -- an overrun makes numbers unreadable
33bf800|closed the paint accounting: discarded attacks found
0ef9308|stratify every accept gate by map area (external data shows rho=-0.546 vs area)
432d702|accept gate condition 2 was implied by condition 1; replaced with an absolute sweep floor (SW>=5)
1bad804|accept gate re-set against a measured se: >=29/50, 26-28 unresolved pending a disjoint-sample replication; SW>=5 floor retired (passed by 5 of 9 dead-even arms)
8bb71ef|roster rung added: carol_iter44, because every existing rung sits at 94-100%
2663c2f|census floor rebuilt on margin==2*(SW-SL): the old estimator measured noise from SPLIT maps, which contribute zero; gate 2.0sd = +23
2b2ced6|sampled gate re-derived from the same identity: >=34/50 (was >=29/50, which was 0.93sd wearing a 2.0sd label)
c5790b4|all 18 accepts re-scored; iterations 34/35/36 do not clear the corrected bar
c725146|census iter30->iter36 = +38: unresolved != rejected; accept decisions move to full-corpus census, sampled runs screen only
cf62b87|first opponent that closes a dense map (carol_racer archetype)
b9e91a2|register an instrument's MEASUREMENT CONDITIONS (which seat/phase), not just its formula
903d012|dose denominator must be counterfactual and exogenous; sweep the knob wide to detect a broken one
590ad1d|accept gate measured BLIND to the ruin gradient (self-play rho +0.009 over 5,768 games vs tournament -0.346); ruin verdicts since iter44 are unresolved, not settled
07c2846|ruinsight: every ruin-conversion gate must be checked SEES IT / BLIND before its verdict is read
57af52e|stage 0 moves off Leaf (corpus 99th-pct ruin outlier) to Mirage, a median map
0db488e|bobf becomes the default stage-0 AND gate opponent for behaviour-coupled mechanisms
